state,value
California,145
California,145
California,145
California,145
California,145
California,145
California,145
California,145
California,140
California,140
California,140
California,140
California,140
California,140
California,140
California,140
California,140
California,140
California,140
California,140
California,140
California,140
California,140
California,140
California,140
California,140
California,140
California,140
California,140
California,140
California,140
California,140
California,140
California,140
California,140
California,140
California,140
California,140
California,140
California,140
California,140
California,140
California,140
California,140
California,140
California,140
California,140
California,140
California,140
Washington,140
Washington,140
Washington,140
Washington,140
Washington,140
Washington,140
Washington,140
Washington,140
Washington,140
Washington,140
Washington,140
Washington,140
Washington,140
Washington,140
Washington,140
Washington,140
Washington,140
Washington,140
Washington,140
Washington,140
Washington,140
Washington,140
Washington,140
Washington,140
Washington,140
Washington,140
Washington,140
California,138
California,136
California,136
California,136
California,136
California,136
California,136
California,135
California,135
California,135
California,135
California,135
California,135
California,135
California,135
California,135
California,135
California,135
California,135
California,135
California,135
California,135
California,135
California,135
California,135
California,135
California,135
California,135
California,135
California,135
California,135
California,135
California,135
California,135
California,135
California,135
California,135
California,135
California,135
California,135
California,135
California,135
California,135
California,135
California,135
California,135
California,135
California,135
California,135
California,135
California,135
California,135
California,135
California,135
California,135
California,135
California,135
California,135
California,135
California,135
California,135
California,135
California,135
California,135
California,135
California,135
California,135
California,135
California,135
California,135
California,135
California,135
California,135
California,135
California,135
California,135
California,135
California,135
California,135
California,135
California,135
California,135
California,135
California,135
California,135
California,135
California,135
California,135
California,135
California,135
California,135
California,135
California,135
California,135
California,135
California,135
California,135
California,135
California,135
California,135
California,135
California,135
California,135
California,135
California,135
California,135
California,135
California,135
California,135
California,135
California,135
California,135
California,135
California,135
California,135
California,135
Washington,135
Washington,135
Washington,135
Washington,135
Washington,135
Washington,135
Washington,135
Washington,135
Washington,135
Washington,135
Washington,135
Washington,135
Washington,135
Washington,135
Washington,135
California,130
California,130
California,130
California,130
California,130
California,130
California,130
California,130
California,130
California,130
California,130
California,130
California,130
California,130
California,130
California,130
California,130
California,130
California,130
California,130
California,130
California,130
California,130
California,130
California,130
California,130
California,130
California,130
California,130
California,130
California,130
California,130
California,130
California,130
California,130
California,130
California,130
California,130
California,130
California,130
California,130
California,130
California,130
California,130
California,130
California,130
California,130
California,130
California,130
California,130
California,130
California,130
California,130
California,130
California,130
California,129
California,129
California,126
California,126
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
California,125
